"Column";"en";"de";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"win_pve_attack_silver_title";"Double Trouble";"Vier F舫ste f? ein Halleluja";"Double problème";"Problema Duplo";"Двойные проблемы";"Problema Doble";"Doppio Guaio";"";"";"";"Podwójne Kłopoty";"";"Problema em Dobro";"Çifte Bela";"";"Dvojitý Problém";"Διπλός μπελάς";"Dupla Baj";"";"Problemă Dublă";"";"Подвійні проблеми";"";"双倍麻烦";"雙倍麻煩";"";"더블 트러블";"";""
"win_pve_attack_gold_title";"Team Rocket";"Team Rocket";"Team Rocket";"Equipa Rocket";"Команда Рокета";"Equipo Rocket";"Team Rocket";"";"";"";"Zespół R";"";"Equipe Rocket";"Roket Takımı";"";"Rakeťáci";"Ομάδα Πύραυλος";"Rakéta Csapat";"";"Echipa Rachetă";"";"Командна ракета";"";"火箭队";"火箭分隊";"";"로켓단";"";""
"win_pve_attack_crystal_title";"Mission Impossible";"Mission Impossible";"Mission impossible";"Missão Impossível";"Миссия невыполнима";"Misión imposible";"Mission Impossible";"";"";"";"Mission Impossible";"";"Missão Impossível";"Görevimiz Tehlike";"";"Mission Impossible";"Επικίνδυνη Αποστολή";"Lehetetlen Küldetés";"";"Misiune Imposibila";"";"Місія нездійсненна";"";"不可能的任务";"不可能的任務";"";"미션 임파서블";"";""
"play_tutorial_title";"There is now a Level Zero";"Von nun an gibt es ein Level Null.";"Il y a maintenant un Niveau Zéro";"Agora há um Nível Zero";"Сейчас есть нулевой уровень";"Ahora hay un nivel cero";"Ora c'è un Livello Zero";"";"";"";"Teraz jest Poziom Zero";"";"Existe agora um Nível Zero";"Şimdi bir Seviye Sıfır var";"";"Nyní nulová úroveň";"Τώρα και επίπεδο μηδέν";"Íme, a 0. szint!";"";"Există acum un Nivel Zero";"";"Зараз є нульовий рівень";"";"现在有了第 0 级";"現在有了第 0 級";"";"0 레벨이 생겼군.";"";""
"cast_summoning_100_title";"Why have I been summoned?";"Warum wurde ich herbeigerufen?";"Pourquoi ai-je été invoqué ? ";"Porque é que fui convocado?";"Зачем я был призван?";"¿Por qué me han invocado?";"Perché sono stato evocato?";"";"";"";"Dlaczego zostałem przywołany?";"";"Por que eu fui convocado?";"Ben neden çağırıldım?";"";"Proč jsem byl povolán?";"Ποιος με φώναξε;";"Miért idéztek meg?";"";"De ce am fost convocat?";"";"Навіщо я був покликаний?";"";"为啥召唤我？";"為啥召喚老子？";"";"난 왜 소환된 거지?";"";""
"cast_summoning_1000_title";"Build more farms.";"Wir brauchen mehr He.";"Construisez davantage de fermes.";"Constrói mais fazendas.";"Постройте больше ферм.";"Construye más granjas.";"Costruisci più fattorie.";"";"";"";"Zbuduj więcej farm.";"";"Construa mais fazendas.";"Daha fazla çiftlik kur.";"";"Musíš postavit více farem";"Κι άλλες φάρμες.";"Még több farmot!";"";"Construiește mai multe ferme.";"";"Побудуйте більше ферм.";"";"多建点农场。";"多建點農場。";"";"농장을 더 지으세요.";"";""
"cast_summoning_10000_title";"You must construct additional pylons!";"Wir m?sen zus舩zliche Pylonen bauen";"Vous devez construire des pylônes supplémentaires !";"Deves construir postes extra!";"Вы должны построить дополнительные пилоны!";"¡Debes construir pilones adicionales!";"Devi costruire altri pilastri!";"";"";"";"Musisz skonstruować dodatkowe pylony!";"";"Você deve construir pilões adicionais!";"Ek kuleler inşa etmelisin!";"";"Postavte další pylony!";"Πρέπει να κατασκευάσεις επιπλέον πυλώνες!";"Több oszlopot kell építened!";"";"Trebuie să construiți stâlpi suplimentari!";"";"Ви повинні побудувати додаткові пілони!";"";"你必须多建点输电塔！";"你必須多建點輸電塔！";"";"수정탑이 더 필요합니다!";"";""
"cast_spell_30_title";"I smell magic in the air. Or maybe barbecue.";"Ich rieche Magie in der Luft. Oder vielleicht ein Grillh臧nchen.";"Je sens de la magie dans l'air. Ou peut-être un barbecue.";"Eu cheiro magia no ar. Ou então churrasco.";"Я чувствую магию в воздухе. Или, может быть, это барбекю.";"Me huele a magia en el aire. O tal vez barbacoa.";"Sento odore di magia nell'aria. O forse è una grigliata.";"";"";"";"Czuję magię w powietrzu. Albo może grilla.";"";"Sinto cheiro de mágica no ar. Ou talvez churrasco.";"Havada sihir kokusu alıyorum. Ya da barbekü.";"";"Cítím magii ve vzduchu. Nebo tu grilují";"Μυρίζομαι μαγεία στον αέρα. Ή απλώς μπάρμπεκιου.";"Varázslatot érzek a levegőben... De lehet, hogy csak szalonna.";"";"Miroase a magie în aer. Sau poate grătar.";"";"Я відчуваю магію в повітрі. Або, може бути, це барбекю.";"";"我闻到魔法的味道。欧，可能只是谁在烤肉。";"我聞到魔法的味道。歐，可能只是誰在烤肉。";"";"킁킁, 어디서 마법의 냄새가... 아, 바베큐 냄새군.";"";""
"cast_spell_300_title";"The flows of magic are whimsical today.";"Die Magiestre sind heute launisch.";"Les flux magiques sont capricieux aujourd'hui. ";"Hoje os fluxos de magia são extravagantes.";"Потоки магии сегодня причудливы.";"Los flujos de magia son caprichosos hoy en día.";"I venti della magia sono capricciosi oggi.";"";"";"";"Przepływy magii są dzisiaj kapryśne.";"";"Os fluxos da magia são caprichosos hoje.";"Bugünlerde büyü akışı bir tuhaf.";"";"Toky magie jsou dnes náladové.";"Οι ροές τής μαγείας είναι παιχνιδιάρικες σήμερα.";"A varázslat folyama ma igen szeszélyes.";"";"Fluxurile de magie sunt capricioase astăzi.";"";"Потоки магії сьогодні вигадливі.";"";"今天的魔法流真是够反覆无常的。";"今天的魔法流真是夠反覆無常的。";"";"마법의 흐림이 변덕스러운 날이군.";"";""
"cast_spell_3000_title";"Magic is not for everyone. Consult your doctor before use.";"Magie eignet sich nicht für alle. Fragt euren Arzt oder Apotheker.";"La magie n'est pas pour tout le monde. Consultez votre médecin avant de l'utiliser. ";"A magia não é para todos. Consulta o teu doutor antes de usar.";"Магия не для всех. Перед использованием проконсультируйтесь с врачом.";"La magia no es para todo el mundo. Consulte a su médico antes de usarlo.";"La magia non è per tutti. Consulta il tuo medico prima dell'uso.";"";"";"";"Magia nie jest dla każdego. Skonsultuj się ze swoim lekarzem przed użyciem.";"";"A magia não é para todos. Consulte seu médico antes de usar.";"Sihir herkes için değildir. Kullanmadan önce doktor tavsiyesi alın.";"";"Magic není pro každého. Před použitím konzultujte svého lékaře.";"Η μαγεία δεν κάνει για όλους. Συμβουλευτείτε τον γιατρό σας πριν από τη χρήση.";"A varázslat nem való mindenkinek. Egyeztessen orvosával, mielőtt használná!";"";"Magia nu este pentru toată lumea. Consultați medicul înainte de utilizare.";"";"Магія не для всіх. Перед використанням проконсультуйтеся з лікарем.";"";"魔法可不是谁都玩得转。得先问问你的医生才行。";"魔法可不是誰都玩得轉。得先問問你的醫生才行。";"";"마법은 모두를 위한 것이 아닙니다. 사용하기 전에 의사와 상담하십시오.";"";""
"cast_building_10_title";"Ready to work.";"Bereit zur Arbeit.";"Prêt à travailler.";"Pronto para trabalhar.";"К работе готов.";"Listo para trabajar.";"Pronto a lavorare.";"";"";"";"Gotowe do pracy.";"";"Pronto para trabalhar.";"Çalışmaya hazır.";"";"Připraven do práce.";"Ώρα για δουλειά.";"Készen áll a munkára!";"";"Gata pentru munca.";"";"До роботи готовий.";"";"准备上工。";"準備上工。";"";"일할 준비가 되었습니다.";"";""
"cast_building_100_title";"More work?";"Mehr Arbeit?";"Plus de travail ?";"Mais trabalho?";"Опять работать?";"¿Más trabajo?";"Più lavoro?";"";"";"";"Więcej pracy?";"";"Mais trabalho?";"Daha fazla iş?";"";"Zase práce?";"Κι άλλη δουλειά;";"Még több munka?";"";"Mai multă muncă?";"";"Знову працювати?";"";"还有工作要做？";"還有工作要做？";"";"더 일하라고요?";"";""
"cast_building_1000_title";"Work, work.";"Arbeit, Arbeit.";"Travaillez, travaillez.";"Trabalho, Trabalho.";"Работа, работа.";"Trabajo, trabajo.";"Lavoro, lavoro.";"";"";"";"Praca, praca.";"";"Trabalho, trabalho.";"İş, iş.";"";"Práce a zas práce";"Δουλειά, δουλειά.";"Munka, munka, munka...";"";"Muncă, treabă.";"";"Робота, робота.";"";"工作工作工作。";"工作工作工作。";"";"일하자, 일.";"";""
"cast_spawner_30_title";"Heroic Reinforcements";"Heroische Verst舐kung";"Renforts Héroïques";"Reforços Heróicos";"Героическое Подкрепление";"Refuerzos heroicos";"Rinforzi Eroici";"";"";"";"Heroiczne Posiłki";"";"Reforços Heroicos";"Destansı Takviyeler";"";"Hrdinské posily";"Ηρωϊκές ενισχύσεις";"Hősi Erősítés";"";"Întăriri Eroice";"";"Героїчне Підкріплення";"";"英雄般的增援";"英雄般的增援";"";"용감한 지원군";"";""
"cast_spawner_300_title";"Legion Ascendancy";"Vormacht der Legion";"Ascendance de la Légion";"Ascendência da Legião";"Господство Легиона";"Ascendencia de la Legión";"Ascesa della Legione";"";"";"";"Panowanie nad Legionem";"";"Ascendência da Legião";"Lejyon Yükselişi";"";"Nadvláda Legie";"Κυριαρχία τής λεγεώνας";"Légiós Befolyás";"";"Ascendența Legiunii";"";"Панування Легіону";"";"军团优势";"軍團優勢";"";"군단 지배자";"";""
"cast_spawner_3000_title";"Assemble the Legion";"Aufmarsch der Legion";"Assemblez la Légion";"Monte a Legião";"Соберите Легион";"Ensamblar la Legión";"Raduna la Legione";"";"";"";"Zgromadzenie Legionu";"";"Monte a Legião";"Lejyon'u Birleştir";"";"Sestavte Legii";"Συγκέντρωσε τη λεγεώνα";"Hadrendbe állni!";"";"Asamblează Legiunea";"";"Зберіть Легіон";"";"组建军团";"組建軍團";"";"군단 소집";"";""
"cast_black_card_50_title";"Welcome to the spooky family.";"Wilkommen bei Familie Anders.";"Bienvenue dans la famille effrayante.";"Bem-vindo à família assustadora.";"Добро пожаловать в жуткую семью.";"Bienvenido a la familia espeluznante.";"Benvenuto nella famiglia spettrale.";"";"";"";"Witaj w upiornej rodzinie.";"";"Bem-vindo à família assustadora.";"Ürpertici aileye hoş geldin.";"";"Vítej u strašidelné rodiny";"Καλωσήλθατε στη στοιχειωμένη οικογένεια.";"Üdv a kísérteties családban!";"";"Bine ați venit la familia înfricoșătoare.";"";"Ласкаво просимо в моторошну сім'ю.";"";"欢迎来到鬼怪家族。";"歡迎來到鬼怪家族。";"";"흑역사에 오신 걸 환영합니다.";"ยินดีต้อนรับสู่ครอบครัวสุดหลอน";""
"cast_black_card_500_title";"My Blood, the Ritual and Me";"Mein Blut, das Ritual und ich";"Mon Sang, le Rituel et Moi";"Meu Sangue, o Ritual e Eu";"Моя кровь, ритуал и я";"Mi sangre, el Ritual y yo";"Il mio Sangue, il Rituale ed Io";"";"";"";"Moja Krew, Rytuał i Ja";"";"Meu Sangue, o Ritual e Eu";"Kanım, Ritüel ve Ben";"";"Má krev, Rituál a Já";"Το αίμα μου, η τελετή κι εγώ";"A vérem, a rituálé és én";"";"Sângele Meu, Ritualul și Eu";"";"Моя кров, ритуал і я";"";"我的血液，仪式和我";"我的血液，儀式和我";"";"내 피, 의식 그리고 나";"";""
"cast_black_card_5000_title";"Black Legion: Exalted";"Schwarze Legion: Ehrf?chtig";"Légion Noire: Exaltée";"Legião Negra: Exaltado";"Черный Легион: Возвышенный";"Legión negra: Exaltado";"Legione Nera: Esaltato";"";"";"";"Czarny Legion: Wywyższenie";"";"Legião Negra: Exaltado";"Kara Lejyon: Yüce";"";"Temná Legie: Vznešený";"Μαύρη Λεγεώνα: Παινεμένη";"Fekete Légió: Feltöltve";"";"Legiunea Neagră: Înălțată";"";"Чорний Легіон: Піднесений";"";"黑暗军团：崇高的";"黑暗軍團：崇高的";"";"흑색 군단: 고귀함";"";""
"cast_blue_card_50_title";"Welcome to the binary family.";"Wilkommen bei Familie Bin舐.";"Bienvenue dans la famille binaire.";"Bem-vindo à família binária.";"Добро пожаловать в бинарную семью.";"Bienvenido a la familia binaria.";"Benvenuto nella famiglia meccanica.";"";"";"";"Witaj w binarnej rodzinie.";"";"Bem-vindo à família binária.";"İkili değer ailesine hoş geldin.";"";"Vítej v binární rodině.";"Καλωσήλθατε στη δυαδική οικογένεια.";"Üdv a bináris családban!";"";"Bine ați venit în familia binară.";"";"Ласкаво просимо в бінарну сім'ю.";"";"欢迎来到二进位家族。";"歡迎來到二進位家族。";"";"이진법 가족에 오신 걸 환영합니다.";"";""
"cast_blue_card_500_title";"My Code, the Exception and Me";"Mein Code, die Exception und ich";"Mon Code, l'Exception et Moi";"Meu Código, a Exceção e Eu";"Мой код, исключение и я сам";"Mi Código, la Excepción y Yo";"Il mio Codice, l'Eccezione ed Io";"";"";"";"Mój Kod, Wyjątek i Ja";"";"Meu Código, a Exceção e Eu";"Kanunum, Ayrıcalığım ve Ben";"";"Můj kód, Výjimka a Já";"Ο κώδικάς μου, η εξαίρεση κι εγώ";"A kódom, a hibák és én";"";"Codul Meu, Excepția și Eu";"";"Мій код, виняток і я сам";"";"我的程式码，例外情况和我";"我的程式碼，例外情況和我";"";"내 코드, 예외 그리고 나";"";""
"cast_blue_card_5000_title";"Blue Legion: Exalted";"Blaue Legion: Ehrf?chtig";"Légion Bleue: Exaltée";"Legião Azul: Exaltado";"Синий Легион: Возвышенный";"Legión Azul: Exaltado";"Legione Blu: Esaltato";"";"";"";"Niebieski Legion: Wywyższenie";"";"Legião Azul: Exaltado";"Mavi Lejyon: Haşmetli";"";"Modrá Legie: Vznešený";"Μπλε Λεγεώνα: Παινεμένη";"Kék Légió: Feltöltve";"";"Legiunea Albastră: Înălțată";"";"Синій Легіон: Піднесений";"";"蓝色军团：崇高的";"藍色軍團：崇高的";"";"청색 군단: 고귀함";"";""
"cast_green_card_50_title";"Welcome to the nature family.";"Wilkommen bei Familie Natur.";"Bienvenue dans la famille de la nature.";"Bem-Vindo à familia da natureza.";"Добро пожаловать в семью природы.";"Bienvenido a la familia de la naturaleza.";"Benvenuto nella famiglia rigogliosa.";"";"";"";"Witaj w rodzinie natury.";"";"Bem-vindo à família da natureza.";"Doğa ailesine hoş geldin.";"";"Vítej v přírodní rodině.";"Καλωσήλθατε στην οικογένεια της φύσης.";"Üdv a természeti családban!";"";"Bine ați venit în familia naturii.";"";"Ласкаво просимо в сім'ю природи.";"";"欢迎来到自然家族。";"歡迎來到自然家族。";"";"자연의 가족에 오신걸 환영합니다.";"ยินดีต้อนรับสู่ครอบครัวแห่งธรรมชาติ";""
"cast_green_card_500_title";"My Leaf, the Cactus and Me";"Mein Blatt, der Kaktus und ich";"Ma Feuille, le Cactus et Moi";"Minha Folha, o Cacto e Eu";"Мой лист, Кактус и я";"Mi Hoja, el Cactus y Yo";"La mia Foglia, il Cactus ed Io";"";"";"";"Mój Liść, Kaktus i Ja";"";"Minha Folha, o Cacto e Eu";"Yaprağım, Kaktüs ve Ben";"";"Můj List, Kaktus a Já";"Το φύλλο μου, ο κάκτος κι εγώ";"A levelem, a kaktusz és én";"";"Frunza Mea, Cactusul și Eu";"";"Мій лист, Кактус і я";"";"我的叶子，仙人掌和我";"我的葉子，仙人掌和我";"";"내 잎사귀, 선인장 그리고 나";"";""
"cast_green_card_5000_title";"Green Legion: Exalted";"Gr?e Legion: Ehrf?chtig";"Légion Verte: Exaltée";"Legião Verde. Exaltado";"Зеленый Легион: Возвышенный";"Legión Verde: Exaltado";"Legione Verde: Esaltato";"";"";"";"Zielony Legion: Wywyższenie";"";"Legião Verde: Exaltado";"Yeşil Lejyon: Haşmetli";"";"Zelená Legie: Vznešený";"Πράσινη Λεγεώνα: Παινεμένη";"Zöld Légió: Feltöltve";"";"Legiunea Verde: Înălțată";"";"Зелений Легіон: Піднесений";"";"绿色军团：崇高的";"綠色軍團：崇高的";"";"녹색 군단: 고귀함";"";""
"cast_colorless_card_50_title";"Welcome to the stone family.";"Wilkommen bei Familie Stein.";"Bienvenue dans la famille de la pierre.";"Bem-Vindo à familia da pedra.";"Добро пожаловать в каменную семью.";"Bienvenido a la familia de piedra.";"Benvenuto nella famiglia rocciosa.";"";"";"";"Witaj w rodzinie kamieni.";"";"Bem-vindo à família de pedra.";"Taş ailesine hoş geldin.";"";"Vítej u kamenné rodiny";"Καλωσήλθατε στη λίθινη οικογένεια.";"Üdv a kőkemény családban!";"";"Bun venit în familia de piatră.";"";"Ласкаво просимо в кам'яну сім'ю.";"";"欢迎来到石块家族。";"歡迎來到石塊家族。";"";"돌의 가족에 오신걸 환영합니다.";"ยินดีต้อนรับสู่ครอบครัวแห่งหิน";""
"cast_colorless_card_500_title";"My Pebble, the Rock and Me";"Mein Kiesel, der Fels und Ich";"Mon Caillou, le Roc et Moi";"Minha Pedrinha, a Pedra e Eu";"Мой камешек, Скала и я";"Mi Piedra, la Roca y Yo";"Il mio Sasso, la Roccia ed Io";"";"";"";"Mój Kamyk, Skała i Ja";"";"Minha Pedrinha, a Pedra e Eu";"Taşım, Kaya ve Ben";"";"Můj Šutřík, Kámen a Já";"Το βότσαλό μου, ο βράχος κι εγώ";"A kavicsom, a kő és én";"";"Pietrișul Meu, Stânca și Eu";"";"Мій камінчик, Скеля і я";"";"我的碎石，巨岩和我";"我的碎石，巨岩和我";"";"내 조약돌, 바위 그리고 나";"";""
"cast_colorless_card_5000_title";"Crystal Legion: Exalted";"Kristall-Legion: Ehrf?chtig";"Légion de cristal: Exaltée";"Legião de Cristal: Exaltado";"Кристальный Легион: Возвышенный";"Legión de Cristal: Exaltado";"Legione Cristallo: Esaltato";"";"";"";"Kryształowy Legion: Wywyższenie";"";"Legião de Cristal: Exaltado";"Kristal Lejyon: Haşmetli";"";"Legie Krystalů: Vznešený";"Κρυστάλλινη Λεγεώνα: Παινεμένη";"Kristály Légió: Feltöltve";"";"Legiunea de Cristal: Înălțată";"";"Кришталевий Легіон: Піднесений";"";"水晶军团：崇高的";"水晶軍團：崇高的";"";"수정 군단: 고귀함";"";""
"cast_white_card_50_title";"Welcome to the light family.";"Wilkommen bei Familie Licht.";"Bienvenue dans la famille de lumière.";"Bem-vindo à família da luz.";"Добро пожаловать в семейство света.";"Bienvenido a la familia de luz.";"Benvenuto nella famiglia luminosa.";"";"";"";"Witaj w rodzinie światła.";"";"Bem-vindo à família da luz.";"Işığın ailesine hoş geldin.";"";"Vítej v rodině světla.";"Καλωσήλθατε στη φωτεινή οικογένεια.";"Üdv a fényes családban!";"";"Bine ați venit la familia luminii.";"";"Ласкаво просимо в сімейство світла.";"";"欢迎来到光之家族。";"歡迎來到光之家族。";"";"빛의 가족에 오신걸 환영합니다.";"ยินดีต้อนรับสู่ครอบครัวแห่งแสง";""
"cast_white_card_500_title";"My Sword, the Oath and Me";"Mein Schwert, der Schwur und ich";"Mon Épée, le Serment et Moi";"Minha Espada, o Juramento e Eu";"Мой меч, Клятва и я";"Mi Espada, el Juramento y Yo";"La mia Spada, il Giuramento ed Io";"";"";"";"Mój Miecz, Przysięga i Ja";"";"Minha Espada, o Juramento e Eu";"Kılıcım, Yemin ve Ben";"";"Můj Meč, Přísaha a Já";"Το ξίφος μου, ο όρκος κι εγώ";"A kardom, az eskü és én";"";"Sabia Mea, Jurământul și Eu";"";"Мій меч, Клятва і я";"";"我的配剑，誓言和我";"我的配劍，誓言和我";"";"내 검, 맹세 그리고 나";"";""
"cast_white_card_5000_title";"White Legion: Exalted";"Weiﾟe Legion: Ehrf?chtig";"Légion Blanche: Exaltée";"Legião Branca: Exaltado";"Белый Легион: Возвышенный";"Legión Blanca: Exaltado";"Legione Bianca: Esaltato";"";"";"";"Biały Legion: Wywyższenie";"";"Legião Branca: Exaltado";"Beyaz Lejyon: Haşmetli";"";"Bílá Legie: Vznešený";"Λευκή Λεγεώνα: Παινεμένη";"Fehér Légió: Feltöltve";"";"Legiunea Albă: Înălțată";"";"Білий Легіон: Піднесений";"";"白色军团：崇高的";"白色軍團：崇高的";"";"백색 군단: 고귀함";"";""
"cast_legendary_10_title";"It is a good Day to Die";"It is a good Day to Die";"C'est un bon Jour pour Mourir";"É um bom dia para morrer";"Это хороший День, чтобы Умереть";"Es un buen Día para Morir";"È un Buon Giorno per Morire";"";"";"";"To jest dobry Dzień by Umrzeć";"";"É um bom dia para morrer";"Ölmek için iyi bir gün";"";"Je dobrý den na smrt";"Ωραία μέρα να τα τινάξεις";"Ez egy szép nap a halálhoz";"";"Este o Zi bună de Murit";"";"Це хороший День, щоб Померти";"";"真是个捐躯的好日子";"真是個捐軀的好日子";"";"죽기 딱 좋은 날이로군";"";""
"cast_legendary_100_title";"Whos Your Daddy";"Whos Your Daddy";"Qui est Votre Père";"Quem é o teu papá";"Кто твой папочка";"¿Quién es tu papi?";"Chi è il Tuo Paparino";"";"";"";"Kto jest Twoim Tatusiem";"";"Quem é o seu papai";"Baban Kim";"";"Whos Your Daddy";"Ποιος είν' ο μπαμπάκας σου;";"Na ki az apuci?";"";"Cine-i Taticul Tău";"";"Хто твій татусь";"";"知道谁是你老爹了没";"知道誰是你老爹了沒";"";"자, 이제 누가 짱이지?";"";""
"cast_legendary_1000_title";"Power Overwhelming";"Power Overwhelming";"Puissance Écrasante";"Poder Esmagador";"Подавляющая мощь";"Poder abrumador";"Potere Soverchiante";"";"";"";"Druzgocąca Moc";"";"Poder Esmagador";"Ezici Güç";"";"Power Overwhelming";"Σαρωτική Ισχύς";"Erő Túltöltés";"";"Putere Copleșitoare";"";"Переважна міць";"";"一力破万法";"一力破萬法";"";"압도적인 힘으로!";"";""
"balance_gold_10000_title";"Greed is Good";"Greed is Good";"La cupidité, c'est bien";"Ganância é Boa";"Жадность не порок";"La Codicia es Buena";"Avido è Meglio";"";"";"";"Chciwość jest Dobra";"";"A ganância é boa";"Açgözlülük İyidir";"";"Greed is Good";"Καλή η απληστία";"A Kapzsiság Jó";"";"Lăcomia este Bună";"";"Жадібність не вада";"";"贪婪真是件好事";"貪婪好極了";"";"탐욕은 좋은 것이다";"ความโลภคือสิ่งที่ดี";""
"balance_gold_100000_title";"Glittering Prizes";"Glittering Prizes";"Prix Scintillants";"Prémios Brilhantes";"Сверкающие призы";"Premios Brillantes";"Premi Sbrilluccicanti";"";"";"";"Połyskliwe Nagrody";"";"Prêmios Brilhantes";"Parıldayan Ödüller";"";"Glittering Prizes";"Αστραφτερά βραβεία";"Csillogó Jutalmak";"";"Premii Strălucitoare";"";"Блискучі призи";"";"闪闪发光的奖励";"閃閃發光的獎勵";"";"반짝이는 상품";"";""
"balance_gold_1000000_title";"Show me the Money";"Show me the Money";"Montrez-moi l'Argent";"Mostra-me o dinheiro";"Покажите мне деньги!";"Enséñame el dinero";"Fammi Vedere i Danari";"";"";"";"Pokazuj Kasę";"";"Mostre-me o dinheiro";"Bana Parayı Göster";"";"Show me the Money";"Φέρ' το μαλλί";"Mutasd a Pénzt!";"";"Arată-mi banii";"";"Покажіть мені гроші";"";"给我钱";"給我錢";"";"쇼미더머니";"แสดงเงินให้ฉัน";""
"read_patch_notes_title";"They nerfed my key card! *$%#!";"Sie haben meine Lieblingskarte generft! *$%#!";"Ils ont pris ma carte d'accès! *$%#!";"Eles nerfaram a minha carta principal! *$%#!";"Они занерфили мою карту! *$%#!";"¡Nerfearon mi tarjeta lave! *$%#!";"Hanno nerfato la mia carta vincente! *$%#!";"";"";"";"Znerfili moją kluczową kartę! *$%#!";"";"Eles nerfaram minha carta principal! *$%#!";"Anahtar kartımı nerflediler. *$%#*$%!";"";"Nerfnuli moji hlavní kartu! *$%#!";"Μου νερφάρισαν την κάρτα κλειδί μου! *$%#!";"Gyengítették a kulcskártyámat *$%#!";"";"Mi-au șuntat cardul! *$%#!";"";"Вони занерфили мою карту! *$%#!";"";"他们竟然把我的门卡给无效了！真是 *$%#！";"他們竟然把我的門卡給無效了！真是 *$%#！";"";"내가 가장 좋아하는 카드를 너프시키다니! *$%#!";"";""
"profile_icon_broken_games_title";"We love you too <3";"Wie lieben dich auch <3";"Nous vous aimons aussi <3";"Nós também te adoramos <3";"Мы тоже тебя любим <3";"¡Nosotros también te queremos!";"Anche noi tvb <3";"";"";"";"Też cię kochamy <3";"";"Nós também te amamos <3";"Biz de seni seviyoruz <3";"";"Taky tě máme rádi <3";"Κι εμείς σ' αγαπούμε <3";"Mi is szeretünk <3";"";"Si noi te iubim<3";"";"Ми теж тебе любимо <3";"";"我们也爱你 <3";"我們也愛你 <3";"";"우리도 사랑해요 <3";"เรารักนายเหมือนกัน <3";""
"secret_riseoflegionscom_title";"Secret Crate Cracker";"Geheimer Kistenfner";"Craqueur de Caisses Secrètes";"Destruidor de Caixa Secreta";"Секретная коробка петард";"Galleta de caja secreta";"Rovistatore Segreto";"";"";"";"Ukryty Rozgniatacz Skrzyń";"";"Destruidor de Caixa Secreta";"Gizli Sandık Kırıcı";"";"Tajné: Truhla Prolomena";"Μυστικός κιβωτιοσπάστης";"Titkos Ládabontó";"";"Spărgatorul Secret de Lăzi";"";"Секретна коробка петард";"";"秘密箱子拆箱器";"秘密箱子拆箱器";"";"비밀 상자 해커";"";""
"secret_brokengamesde_title";"Secret Developer Fan";"Geheimer Entwicklerfan";"Fan Caché des Développeurs";"Fã Secreto do Desenvolvedor";"Секретный поклонник разработчиков";"Fan de desarrollador secreto";"Ammiratore Segreto";"";"";"";"Sekretny Fan Dewelopera";"";"Fã Secreto do Desenvolvedor";"Gizli Geliştirici Fanı";"";"Tajné: Fanda Vývojářů";"Μυστικός οπαδός";"Titkos Rajongó";"";"Fanul Secret al Dezvoltatorului";"";"Секретний шанувальник розробників";"";"研发者的秘密粉丝";"研發者的秘密粉絲";"";"비밀 개발자 팬";"";""
"secret_steam_title";"Secret Reader";"Geheimer Leser";"Lecteur Secret";"Leitor Secreto";"Секретный читатель";"Lector secreto";"Lettore Segreto";"";"";"";"Skryty Czytelnik";"";"Leitor Secreto";"Gizli Okuyucu";"";"Tajné: Čtenář";"Μυστικός αναγνώστης";"Titkos Olvasó";"";"Cititor Secret";"";"Секретний читач";"";"秘密读者";"秘密讀者";"";"비밀 독자";"";""
"secret_twitter_title";"Secret Follower";"Geheimer Follower";"Disciple Secret";"Seguidor Secreto";"Секретный подписчик";"Seguidor secreto";"Follower Segreto";"";"";"";"Skryty Follower";"";"Seguidor Secreto";"Gizli Takipçi";"";"Tajné: Follower";"Μυστικός ακόλουθος";"Titkos Követő";"";"Adept secret";"";"Секретний підписник";"";"秘密跟随者";"秘密跟隨者";"";"비밀 팔로워";"ผู้ติดตามลับ";""
"secret_facebook_title";"Secret Liker";"Geheimer Liker";"Liker Secret";"Admirador Secreto";"Тайный любовник";"Liker secreto";"Mipiacciatore Segreto";"";"";"";"Skryty Liker";"";"Curtidor Secreto";"Gizli Beğenici";"";"Tajné: Liker";"Μυστικός λάικερ";"Titkos Kedvelő";"";"Admiratorul Secret";"";"Таємний коханець";"";"秘密喜爱者";"秘密喜愛者";"";"비밀 좋아요";"";""
"secret_client_title";"Secret Agent 20X";"Geheimagent 20X";"Agent Secret 20X";"Agent Secreto 20X";"Секретный агент 20X";"Agente secreto 20X";"Agente Segreto 20X";"";"";"";"Skryty Agent 20X";"";"Agente Secreto 20X";"Gizli Ajan 20X";"";"Tajný Agent 20X";"Μυστικός πράκτορας 20Χ";"Titkosügynök 20X";"";"Agentul secret 20X";"";"Секретний агент 20X";"";"秘密探员 20X";"秘密探員 20X";"";"비밀 요원 20X";"";""
