"Column";"de";"en";"fr";"pt";"ru";"es";"it";"da";"sv";"nl";"pl";"fi";"pt-BR";"tr";"bg";"cs";"el";"hu";"no";"ro";"es-419";"uk";"ar";"zh-CN";"zh-TW";"ja";"ko";"th";"vn"
"shop_purchase_dialog_psFailed";"Aktion fehlgeschlagen!";"Purchase failed!";"Action échouée!";"Compra falhada!";"Покупка не удалась!";"Compra fallida!";"Acquisto fallito!";"";"";"Aankoop gefaald!";"Zakup nieudany!";"Tapahtuma epäonnistui!";"Compra falhou!";"İşlem başarısız!";"Неуспешна покупка!";"Nákup selhal!";"Η αγορά απέτυχε!";"Sikertelen vásárlás!";"";"Achiziție eșuată!";"No se pudo hacer la compra!";"Покупка не вдалася!";"فشل في عملية الشراء";"购买失败！";"購買失敗！";"";"구매를 실패했습니다!";"";""
"shop_redeem_help_text";"Bonuscodes können hier einmalig eingelöst werden und haben normalerweise die Form:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Bonus codes can be redeemed once here and are normally in the form:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Les codes bonus peuvent être rachetés une fois ici et sont normalement sous la forme:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Códigos bônus podem ser redimidos apenas uma vez, e têm normalmente o formato:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Бонусные коды могут быть использованы один раз и имеют вид:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Los códigos de bonificación se pueden redimir una vez aquí y normalmente están en la forma: \ n \ nXXXX-XXXX-XXXX-XXXX-XXXX";"I codici bonus possono essere riscattati qui e sono normalmente nella forma:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"";"";"";"Tutaj można wykorzystać kody bonusowe jednokrotnie i zwykle mają formę: \n\nXXXX-XXXX-XXXX-XXXX-XXXX";"";"Códigos de Bônus podem ser resgatados aqui uma vez e normalmente no formato:\nXXXX-XXXX-XXXX-XXXX-XXXX";"Bonus kodlar burada bir kez kullanılabilir ve genelde şu düzende olurlar:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Бонус кодове могат да бъдат активирани веднъж тук и обикновено са под формата:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Bonusové kódy lze uplatnit pouze jednou a jsou obvykle ve formě:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Κωδικοί μπόνους μπορούν να εξαργυρωθούν μια φορά εδώ και έχουν κανονικά τη μορφή:\n\nnXXXX-XXXX-XXXX-XXXX-XXXX";"Bónusz kódok egyszer válthatók itt, ebben a formában:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"";"Codurile bonus pot fi răscumpărate o dată aici și sunt în mod normal sub forma:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Los códigos de bonificación se pueden redimidos una vez aquí y normalmente están en la forma:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"Бонусні коди можуть бути використані один раз і мають вигляд:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"";"优惠代码只能在此兑换一次，通常格式为：\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"優惠代碼只能在此兌換一次，通常格式為：\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"";"보너스 코드는 한 번만 사용할 수 있으며 보통 다음과 같은 형식입니다:\n\nXXXX-XXXX-XXXX-XXXX-XXXX";"";""
"shop_redeem_dialog_redeem";"Einlösen";"Redeem";"Échanger";"Redimir";"Получить";"Canjear";"Riscatta";"";"";"Verzilveren";"Wykorzystaj";"Lunasta";"Resgatar";"Bozdur";"Активирай";"Vyzvednout";"Εξαργύρωσε";"Beváltás";"";"Răscumpară";"redimir";"Отримати";"استبدال";"兑换";"兌換";"";"사용";"";""
"shop_redeem_dialog_caption";"Bonuscode einlösen";"Redeem bonus code";"Échangez le code bonus";"Redimir código bônus";"Использовать бонус код";"Canjear código de bono";"Riscatta codice bonus";"";"";"Bonus code verzilveren";"Wykorzystaj kod";"Lunasta bonuskoodi";"Resgatar código bônus";"Bonus kodu bozdur";"Активирай бонус код";"Vyzvedni bonusový kód";"Εξαργύρωση κωδικού μπόνους";"Bónuszkód beváltása";"";"Utilizați-vă codul bonus";"Redimir un código de bono.";"Використати бонусний код";"استبدال الرمز";"兑换优惠代码";"兌換優惠代碼";"";"보너스 코드 사용";"";""
"shop_redeem_dialog_loading_caption";"Bonuscode einlösen";"Redeem bonus code";"Échangez le code bonus";"Redimir código bônus";"Использовать бонус код";"Canjear código de bono";"Riscatta codice bonus";"";"";"Bonus code verzilveren";"Wykorzystaj kod";"Lunasta bonuskoodi";"Resgatar código bônus";"Bonus kodu bozdur";"Активирай бонус код";"Vyzvedni bonusový kód";"Εξαργύρωση κωδικού μπόνους";"Bónuszkód beváltása";"";"Utilizați-vă codul bonus";"Redimir un código de bono.";"Використати бонусний код";"استبدال الرمز";"兑换优惠代码";"兌換優惠代碼";"";"보너스 코드 사용";"";""
"shop_redeem_dialog_loading_message";"Löse Code ein…";"Redeeming code …";"Échangement du code …";"A redimir o código …";"Используется код…";"Canjeando código...";"Riscattando il codice…";"";"";"Code verzilveren…";"Wykorzystywanie kodu…";"Lunastetaan koodia …";"Resgatando código...";"Kod bozduruluyor …";"Активиране на код ...";"Vyzvedávám obsah …";"Εξαργυρώνεται ο κωδικός …";"Kód beváltása...";"";"Utilizare cod…";"Redimiendo codigo...";"Використовується код…";"جاري استبدال الرمز";"兑换代码中…";"兌換代碼中...";"";"코드 사용 중…";"";""
"shop_item_hint_icon";"- Icon -\nUm dein Profil und deine Decks visuell hervorstechen zu lassen, kannst du alle freigeschalteten Icons nutzen.";"- Icon -\nYou can use all unlocked icons to visually emphasize your profile and your decks.";"- Icône -\n Vous pouvez utiliser toutes les icônes déverrouillées pour mettre en valeur visuellement votre profil et vos decks.";"- Icon -\nPodes usar qualquer icon desbloqueado para realçar o teu perfile e os teus baralhos.";"- Иконка -\nМожешь использовать все открытые иконки, чтобы видоизменить свой профиль и свои колоды.";"- Icono -\nPuedes usar todos los iconos desbloqueados para enfatizar visualmente tu perfil y tus mazos.";"- Icona -\nPuoi usare tutte le icone sbloccate per enfatizzare il tuo profilo ed i tuoi mazzi.";"";"";"- Icon -\nJe kan alle ontgrendelde iconen gebruiken om je profiel en je decks te personaliseren.";"- Ikony -\nMożesz użyć wszystkich odblokowanych ikon aby wizualnie wyróżnić swój profil i talie.";"- Ikoni -\nVoit käyttää kaikkia avattuja ikoneita piristääksesi profiilisi ja pakkojen ulkonäköä.";"- Icon -\nVocê pode usar todos os ícones desbloqueados para enfatizar visualmente seu perfil e deck.";"- Simge -\nProfilinin ve destenin görünüşünü güzelleştirmek için açık olan simgeleri kullanabilirsiniz.";"-Икона-\nМожете да използвате всички отключени икони, за да се персонализирате вашия профил и вашите тестета.";"- Icon -\nMůžeš použít všechny odemknuté ikony pro vylepšení vzhledu profilu a balíčků.";"- Εικονίδιο -\nΜπορείς να χρησιμοποιήσεις όλα τα ξεκλειδωμένα εικονίδια για να τονίσεις οπτικά το προφίλ σου και τις τράπουλές σου.";"";"";"- Pictogramă -\nPuteți utiliza toate pictogramele deblocate pentru a vă evidenția vizual profilul și punțile.";"- Icono -\nPuedes usar todos los iconos desbloqueados para enfatizar visualmente tu perfil y tus paquetes.";"- Іконка -\nВи можете використовувати всі розблоковані значки, щоб візуально підкреслити свій профіль та колоду.";"";"- 图标 -\n您可以用已解锁的图标来强调您的个人资料和您的牌组。";"- 圖標 -\n你可以用已解鎖的圖標來強調你的個人資料和你的牌組。";"";"- 아이콘 -\n잠금 해제된 아이콘을 사용하여 프로필과 덱을 강조할 수 있습니다.";"";""
"shop_item_name_bundle_gold";"Gold Bundle";"Gold Bundle";"Forfait d'or";"Pacote de Ouro";"Золотой Набор";"Paquete de Oro";"Bundle Oro";"";"";"";"Złoty Pakiet";"";"Pacote de Ouro";"Altın Paket";"Пакет Злато";"Zlatý Balíček";"Δεμάτι Χρυσού";"Arany Csomag";"";"Pachetul de Aur";"Paquete de oro";"Золотий Набір";"حزمة ذهبية";"黄金同捆包";"黃金同捆包";"";"골드 꾸러미";"";""
"shop_item_bundle_large_text";"30 Tage <span class=""premium"">Premiumzeit</span>\n5.000 <span class=""premium-currency"">Kristalle</span>\n2 <span class=""deckslot"">Deckslots</span>";"30 Days <span class=""premium"">Premium Time</span>\n5,000 <span class=""premium-currency"">Crystals</span>\n2 <span class=""deckslot"">Deckslots</span>";"30 jours de <span class=""premium"">temps premium</span>\n5,000 <span class=""premium-currency"">Crystaux</span>\n2 <span class=""deckslot"">Emplacements de deck</span>";"30 Dias <span class=""premium"">Tempo Premium</span>\n5,000 <span class=""premium-currency"">Cristais</span>\n2 <span class=""deckslot"">Espaços para Baralhos</span>";"30 Дней <span class=""premium"">Действия Премиума</span>\n5,000 <span class=""premium-currency"">Кристалы</span>\n2 <span class=""deckslot"">Место для колоды</span>";"30 días <span class=""premium"">Tiempo Premium</span> \ n5,000 <span class=""premium-currency"">Cristales</span> \ n2 <span class=""deckslot"">Espacio para Mazo</span>";"30 Giorni di <span class=""premium"">Tempo Premium</span>\n5000 <span class=""premium-currency"">Cristalli</span>\n2 <span class=""deckslot"">Slot per i mazzi</span>";"";"";"";"30 Dni <span class=""premium"">Konta Premium</span>\n5,000 <span class=""premium-currency"">Kryształów</span>\n2 <span class=""deckslot"">miejsca na talie</span>";"";"30 Dias de <span class=""premium"">Tempo Premium</span>\n5,000 <span class=""premium-currency"">Cristais</span>\n2 <span class=""deckslot"">Espaços para Decks</span>";"30 Gün <span class=""premium"">Premium Süresi</span>\n5,000 <span class=""premium-currency"">Kristal</span>\n2 <span class=""deckslot"">Deste Alanı</span>";"";"30 Dní <span class=""premium"">Premium</span>\n5,000 <span class=""premium-currency"">Krystalů</span>\n2 <span class=""deckslot"">Sloty na balíčky</span>";"30 Ημέρες <span class=""premium"">Χρόνου Προνομίων</span>\n5.000 <span class=""premium-currency"">Κρύσταλλοι</span>\n2 <span class=""deckslot"">Θέσεις Τράπουλας</span>";"";"";"30 De Zile <span class=""premium"">Timp Premium</span>\n5,000 <span class=""premium-currency"">Cristale</span>\n2 <span class=""deckslot"">Sloturi de Punte</span>";"30 días de <span class=""premium"">Tiempo Premium</span>\n5,000 <span class=""premium-currency"">Cristales</span>\n2 <span class=""deckslot"">Espacio para paquete</span>";"30 Дні <span class=""premium"">Premium Time</span>\n5,000 <span class=""premium-currency"">Кристалів</span>\n2 <span class=""deckslot"">Слоти для колоди</span>";"";"30 天的 <span class=""premium"">付费会员时间</span>\n5,000 <span class=""premium-currency"">个水晶</span>\n2 <span class=""deckslot"">个牌组空位</span>";"30 天的 <span class=""premium"">付費會員時間</span>\n5,000 <span class=""premium-currency"">個水晶</span>\n2 <span class=""deckslot"">個牌組空位</span>";"";"<span class=""premium"">프리미엄 기간</span> 30일\n5,000 <span class=""premium-currency"">수정</span>\n<span class=""deckslot"">덱 슬롯</span> 2개";"";""
"shop_item_bundle_medium_text";"3 Tage <span class=""premium"">Premiumzeit</span>\n2.000 <span class=""premium-currency"">Kristalle</span>\n1 <span class=""deckslot"">Deckslot</span>";"3 Days <span class=""premium"">Premium Time</span>\n2,000 <span class=""premium-currency"">Crystals</span>\n1 <span class=""deckslot"">Deckslot</span>";"3 jours de <span class=""premium"">temps premium</span>\n2,000 <span class=""premium-currency"">Crystaux</span>\n1 <span class=""deckslot"">Emplacement de deck</span>";"3 Dias <span class=""premium"">Tempo Premium</span>\n2,000 <span class=""premium-currency"">Cristais</span>\n1 <span class=""deckslot"">Espaços para Baralhos</span>";"3 Дня <span class=""premium"">Действия Премиума</span>\n2,000 <span class=""premium-currency"">Кристалы</span>\n1 <span class=""deckslot"">Место для колоды</span>";"3 días <span class=""premium"">Tiempo Premium</span>\n2,000 <span class=""premium-currency"">Cristales</span>\n1 <span class=""deckslot"">Espacio para Mazo</span>";"3 Giorni di <span class=""premium"">Tempo Premium</span>\n2000 <span class=""premium-currency"">Cristalli</span>\n1 <span class=""deckslot"">Slot per i mazzi</span>";"";"";"";"3 Dni <span class=""premium"">Konta Premium</span>\n2,000 <span class=""premium-currency"">Kryształów</span>\n1 <span class=""deckslot"">miejsca na talie</span>";"";"3 Dias de <span class=""premium"">Tempo Premium</span>\n2,000 <span class=""premium-currency"">Cristas</span>\n1 <span class=""deckslot"">Espaço para Deck</span>";"3 Gün <span class=""premium"">Premium Süresi</span>\n2,000 <span class=""premium-currency"">Kristal</span>\n1 <span class=""deckslot"">Deste Alanı</span>";"";"3 Dny <span class=""premium"">Premium</span>\n2,000 <span class=""premium-currency"">Krystalů</span>\n1 <span class=""deckslot"">Slot na balíčky</span>";"3 Ημέρες <span class=""premium"">Χρόνου Προνομίων</span>\n2.000 <span class=""premium-currency"">Κρύσταλλοι</span>\n1 <span class=""deckslot"">Θέση Τράπουλας</span>";"";"";"3 Zile <span class=""premium"">Timp Premium</span>\n2,000 <span class=""premium-currency"">Cristale</span>\n1 <span class=""deckslot"">Sloturi de Punte</span>";"3 días de <span class=""premium"">Tiempo Premium</span>\n2,000 <span class=""premium-currency"">Cristales</span>\n1 <span class=""deckslot"">Espacio para paquete</span>";"3 Дні <span class=""premium"">Premium Time</span>\n2,000 <span class=""premium-currency"">Кристалів</span>\n1 <span class=""deckslot"">Слот для колоди</span>";"";"3 天的 <span class=""premium"">付费会员时间</span>\n2,000 <span class=""premium-currency"">个水晶</span>\n1 <span class=""deckslot"">个牌组空位</span>";"3 天的 <span class=""premium"">付費會員時間</span>\n2,000 <span class=""premium-currency"">個水晶</span>\n1 <span class=""deckslot"">個牌組空位</span>";"";"<span class=""premium""> 프리미엄 기간</span> 3일\n2,000 <span class=""premium-currency"">수정</span>\n<span class=""deckslot"">덱 슬롯</span> 1개";"";""
"shop_item_bundle_gold_text";"60 Tage <span class=""premium"">Premiumzeit</span>\n10.000 <span class=""premium-currency"">Kristalle</span>\n4 <span class=""deckslot"">Deckslots</span>";"60 Days <span class=""premium"">Premium Time</span>\n10,000 <span class=""premium-currency"">Crystals</span>\n4 <span class=""deckslot"">Deckslots</span>";"60 jours de <span class=""premium"">temps premium</span>\n10,000 <span class=""premium-currency"">Crystaux</span>\n4 <span class=""deckslot"">Emplacements de deck</span>";"60 Dias <span class=""premium"">Tempo Premium</span>\n10,000 <span class=""premium-currency"">Cristais</span>\n4 <span class=""deckslot"">Espaços para Baralhos</span>";"60 Дней <span class=""premium"">Действия Премиума</span>\n10,000 <span class=""premium-currency"">Кристалы</span>\n4 <span class=""deckslot"">Место для колоды</span>";"60 días <span class=""premium"">Tiempo Premium</span>\n10.000 <span class=""premium-currency"">Cristales</span>\n4 <span class=""deckslot"">Espacio para Mazo</span>";"60 Giorni di <span class=""premium"">Premium Time</span>\n10000 <span class=""premium-currency"">Cristalli</span>\n4 <span class=""deckslot"">Slot per i mazzi</span>";"";"";"";"60 Dni <span class=""premium"">Konta Premium</span>\n10,000 <span class=""premium-currency"">Kryształów</span>\n4 <span class=""deckslot"">miejsca na talie</span>v";"";"60 Dias de <span class=""premium"">Tempo Premium</span>\n10,000 <span class=""premium-currency"">Cristais</span>\n4 <span class=""deckslot"">Espaços para Decks</span>";"60 Gün <span class=""premium"">Premium Süresi</span>\n10,000 <span class=""premium-currency"">Kristal</span>\n4 <span class=""deckslot"">Deste Alanı</span>";"";"60 Dní <span class=""premium"">Premium</span>\n10,000 <span class=""premium-currency"">Krystalů</span>\n4 <span class=""deckslot"">Sloty na balíčky</span>";"60 Ημέρες <span class=""premium"">Χρόνου Προνομίων</span>\n10.000 <span class=""premium-currency"">Κρύσταλλοι</span>\n4 <span class=""deckslot"">Θέσεις Τράπουλας</span>";"";"";"60 De Zile <span class=""premium"">Timp Premium</span>\n10,000 <span class=""premium-currency"">Cristale</span>\n4 <span class=""deckslot"">Sloturi de Punte</span>";"60 días de <span class=""premium"">Tiempo Premium</span>\n10.000 <span class=""premium-currency"">Cristales</span>\n4 <span class=""deckslot"">Espacio para paquete</span>";"60 Днів <span class=""premium"">Premium Time</span>\n10,000 <span class=""premium-currency"">Кристалів</span>\n4 <span class=""deckslot"">Слотів для колоди</span>";"";"60 天的 <span class=""premium"">会员付费时间</span>\n10,000 <span class=""premium-currency"">个水晶</span>\n4 <span class=""deckslot"">个牌组空位</span>";"60 天的 <span class=""premium"">會員付費時間</span>\n10,000 <span class=""premium-currency"">個水晶</span>\n4 <span class=""deckslot"">個牌組空位</span>";"";"<span class=""premium"">프리미엄 기간</span> 60일\n10,000 <span class=""premium-currency"">수정</span>\n<span class=""deckslot"">덱 슬롯</span> 4개";"";""
"shop_item_bundle_large_title";"Alle Silber Karten!";"All Silver cards!";"Toutes les cartes argent!";"Todas as cartas de Prata!";"Все Серебряные карты!";"¡Todas las cartas de plata!";"Tutte le carte Argento!";"";"";"Alle Zilveren kaarten!";"Wszystkie Srebrne karty!";"";"Todas as Cartas Pratas!";"Tüm Gümüş kartlar!";"Всички Сребърни карти!";"Všechny Stříbrné karty!";"Όλες οι Ασημένιες κάρτες!";"Minden Ezüst kártya!";"";"Toate cărțile de Argint!";"¡Todas las tarjetas de plata!";"Усі Срібні картки!";"جميع البطاقات الفضية";"所有的银级卡牌！";"所有的銀級卡片！";"";"모든 실버 카드!";"";""
"shop_item_bundle_medium_title";"Alle Bronze Karten!";"All Bronze cards!";"Toutes les cartes bronze!";"Todas as cartas de Bronze!";"Все бронзовые карты!";"¡Todas las tarjetas de Bronce!";"Tutte le carte Bronzo!";"";"";"Alle Bronzen kaarten!";"Wszystkie Brązowe karty!";"";"Todas as Cartas Bronze!";"Tüm Bronz kartlar!";"Всички Бронзови карти!";"Všechny Bronzové karty!";"Όλες οι Χάλκινες κάρτες!";"Minden Bronz kártya!";"";"Toate cărțile de bronz!";"¡Todas las tarjetas de Bronce!";"Усі Бронзові картки!";"حميع البطاقات البرونزية";"所有的铜级卡牌！";"所有的銅級卡片！";"";"모든 브론즈 카드!";"";""
"shop_item_bundle_gold_title";"Alle Gold Karten!";"All Gold cards!";"Toutes les cartes or!";"Todas as cartas de Ouro!";"Все золотые карты!";"¡Todas las tarjetas de oro!";"Tutte le carte Oro!";"";"";"Alle Gouden kaarten!";"Wszystkie Złote karty!";"";"Todas as Cartas Ouro!";"Tüm Altın kartlar!";"Всички Златни карти!";"Všechny Zlaté karty!";"Όλες οι Χρυσές κάρτες!";"Minden Arany kártya!";"";"Toate cărțile de Aur!";"¡Todas las tarjetas de oro!";"Усі Золоті картки!";"";"所有的黄金卡牌！";"所有的黃金卡片！";"";"모든 골드 카드!";"";""
